Class	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF PS	HF	HF
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales|S24-7|group|Bacteroidales|S24-7|group|unclassified|unclassified	4	52	1192	31	354	351	80	61	2	898	6	146	0	0	0	15	222	46	0	109	432	21	0	0	312	118
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales|unclassified|Bacteroidales|unclassified|unclassified	0	0	1	0	0	0	0	2	0	7	0	2	0	0	0	1	3	2	0	3	6	0	0	0	2	2
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas|mossii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|distasonis	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|goldsteinii	0	0	1	0	13	15	18	0	0	39	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|sp.	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|unclassified	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|unclassified	0	16	2	0	13	9	2	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|1|unclassified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|unclassified	0	0	3	0	68	103	44	0	0	0	0	0	0	0	0	72	161	0	0	0	0	0	0	0	0	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae|RC9|gut|group|unclassified	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidia|unclassified|Bacteroidia|unclassified|Bacteroidia|unclassified|unclassified	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
