	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacteriaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|acnes	0	0	0	0	0	0	0	0	0	0	0	0	76	343	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|freudenreichii	4	0	28	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|granulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|unclassified	0	0	2	0	4	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Adlercreutzia|unclassified	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Atopobium|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Atopobium|vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Coriobacteriaceae|UCG-002|unclassified	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Coriobacteriaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Enterorhabdus|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella|unclassified	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|480-2|480-2|unclassified|unclassified	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Patulibacteraceae|Patulibacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	269	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacterales|unclassified|Solirubrobacterales|unclassified|unclassified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	6	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilia|unclassified|Thermoleophilia|unclassified|Thermoleophilia|unclassified|unclassified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	9	0	0	0
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|solventivorans	0	0	0	0	0	0	0	0	0	0	444	697	0	0	0	248	0	0	0	0	0	33
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|sphaerophysae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Escherichia|coli	6	11	11	922	224	1	1	0	3993	2413	812	1535	971	1533	3371	1229	472	4165	936	487	2861	171
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|boydii	0	0	0	0	0	0	0	0	4	3	4	5	1	2	5	2	0	9	2	0	5	0
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|flexneri	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|sonnei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteria|unclassified|Bacteria|unclassified|Bacteria|unclassified|Bacteria|unclassified|Bacteria|unclassified|unclassified	2	5	2	22	69	0	1	0	3	15	0	1	24	1	5	6	8	2	8	3	10	10
Bacteria|Bacteroidetes|Bacteroidetes|unclassified|Bacteroidetes|unclassified|Bacteroidetes|unclassified|Bacteroidetes|unclassified|unclassified	2	0	3	15	9	0	1	0	5	5	0	0	12	0	3	9	6	0	1	1	14	14
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|acidifaciens	0	0	4	69	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales|RF16|group|Bacteroidales|RF16|group|unclassified|unclassified	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales|S24-7|group|Bacteroidales|S24-7|group|unclassified|unclassified	37	116	137	1300	3044	31	0	8	298	392	0	0	158	20	168	312	806	0	126	1041	877	1155
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales|unclassified|Bacteroidales|unclassified|unclassified	0	0	0	0	0	0	0	0	4	14	0	0	9	0	9	1	17	0	0	28	27	14
